"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20190830"
"Intel(R) Processor Graphics","20.19.15.4835","Intel Corporation",
"Realtek High Definition Audio Driver","6.0.1.7548","Realtek Semiconductor Corp.","20180302"
"WinRT Intellisense PPI - Other Languages","10.1.17134.12","Microsoft Corporation","20181022"
"Windows Team Extension SDK Contracts","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0","Microsoft Corporation",
"WinRT Intellisense Mobile - en-us","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK Desktop Tools x86","10.1.17763.132","Microsoft Corporation","20190324"
"MySQL Installer for Windows - Community","1.4.29.0","Oracle Corporation","20190317"
"Windows SDK DirectX x86 Remote","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20180602"
"Windows Team Extension SDK Contracts","10.1.17134.12","Microsoft Corporation","20181022"
"Windscribe","1.83 Build 20","Windscribe Limited","20190228"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.17763.132","Microsoft Corporation","20190324"
