title,value
org.eclipse.equinox.simpleconfigurator_1.1.100.v20150423-1455.jar,0.88
org.eclipse.equinox.util_1.0.500.v20130404-1337.jar,0.88
org.eclipse.osgi.compatibility.state_1.0.100.v20150402-1551.jar,1
org.eclipse.osgi.services_3.5.0.v20150519-2006.jar,1
org.eclipse.osgi.util_3.3.100.v20150423-1351.jar,0.88
org.eclipse.osgi_3.10.101.v20150820-1432.jar,0.88
org.eclipse.update.configurator_3.3.300.v20140518-1928.jar,0.898864347
org.sat4j.core_2.3.5.v201308161310.jar,0.534
org.sat4j.pb_2.3.5.v201404071733.jar,0
org.tukaani.xz_1.3.0.v201308270617.jar,0
ccs_update_6.2.0.00050.exe,0.018864347
artifacts.jar,0
content.jar,0.012892217
com.ti.cgt.arm.5.2.help_5.2.0.201501080900.jar,0.007204474
com.ti.cgt.arm.5.2.help_5.2.0.jar,0.007204474
artifacts.jar,0
content.jar,0.012892217
com.ti.chromium.browser_6.2.0.201609121600.jar,1
com.ti.chromium.browser.win32.win32.x86_1.0.0.201609121600.jar,1
com.ti.chromium.browser_1.0.0.201609121600.jar,1
artifacts.jar,0
content.jar,0.012892217
com.ti.cgt.c2000.6.4.help_6.4.0.201411251410.jar,0.007204474
com.ti.cgt.c2000.6.4.help_6.4.0.jar,0.007204474
artifacts.jar,0
content.jar,0.012892217
com.ti.cgt.c5500.4.4.help_4.4.0.201203231357.jar,0.007204474
com.ti.cgt.c5500.4.4.help_4.4.0.jar,0.007204474
artifacts.jar,0
content.jar,0.012892217
com.ti.cgt.c6000.7.4.help_7.4.0.201303051055.jar,0.007204474
com.ti.cgt.c6000.7.4.help_7.4.0.jar,0.007204474
artifacts.xml,0
content.xml,0.012892217
com.ti.ccstudio.rtsc_5.3.0.201604241800.jar,0.007204474
com.ti.dvt.ccstudio_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.codecoverage_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.common_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.msp430.power_4.1.0.201609091143.jar,0.040288178
com.ti.dvt2.analysis.suite_4.1.0.201609091143.jar,0.027126425000000003
com.ti.dvt2.analysis_4.1.0.201609091143.jar,0.017204474
com.ti.dvt2.control_4.1.0.201609091143.jar,0.23651530599999998
com.ti.dvt2.core.ccstudio_4.1.0.201609091143.jar,0.541204474
com.ti.dvt2.core_4.1.0.201609091143.jar,0.541204474
com.ti.dvt2.graph.visualization_4.1.0.201609091143.jar,0.007204474
com.ti.dvt2.profileanalysismanager_4.1.0.201609091143.jar,0.007204474
com.ti.dvt2.resource.explorer_4.1.0.201609091143.jar,0.779029765
com.ti.dvt2.rov_4.1.0.201609091143.jar,0.007204474
com.ti.dvt2.scripting.ui_4.1.0.201609091143.jar,1
com.ti.dvt2.trace.ccs_4.1.0.201609091143.jar,0.130204474
com.ti.dvt2.trace.control_4.1.0.201609091143.jar,0.359515306
